predicted	actual	model_calibration
0.045421958071363636	0.04090909090909091	before
0.13229247253030305	0.08333333333333333	before
0.23891331142857142	0.2	before
0.3512187559259258	0.25925925925925924	before
0.44081702470588235	0.17647058823529413	before
0.5546094673913045	0.2608695652173913	before
0.6707472878260868	0.43478260869565216	before
0.7319071180952382	0.2857142857142857	before
0.81176615	1.0	before
0.040015572568012414	0.059006211180124224	after
0.1397447941698113	0.07547169811320754	after
0.24461786000000005	0.2727272727272727	after
0.35138977227272733	0.22727272727272727	after
0.4440665091666667	0.25	after
0.5530521235294119	0.23529411764705882	after
0.6432626091666667	0.4166666666666667	after
0.7448305575757577	0.3939393939393939	after
0.8264759883333332	0.16666666666666666	after
