Document,Type,ID,Offset,End
1,Chemical,C030544,0,7
1,Chemical,D000432,45,53
100,Species,9913,0,6
100,Disease,D016464,29,54
100001,Species,9606,22,30
100001,Disease,D000789,36,60
100002,Species,9606,1026,1034
100002,Disease,D003324,106,129
100002,Species,9606,1297,1305
100002,Species,9606,1363,1370
100002,Disease,D003327,287,303
100002,Disease,D003645,543,555
100002,Disease,D003324,658,681
100002,Species,9606,92,100
100002,Disease,D003324,987,1010
100003,Disease,D004696,158,170
100003,Disease,D004696,22,34
100003,Disease,D004696,242,254
100003,Disease,D004696,317,329
100003,Disease,D007239,484,494
100003,Species,9606,83,88
100012,Chemical,Unknown,1128,1130
100012,Chemical,Unknown,173,179
100012,Chemical,Unknown,184,192
100012,Chemical,Unknown,349,351
100012,Chemical,Unknown,596,598
100012,Chemical,Unknown,697,699
100012,Chemical,Unknown,9,11
100012,Chemical,Unknown,951,953
100013,Species,10116,1055,1059
100013,Species,10116,1123,1127
100013,Disease,D003920,1230,1238
100013,Species,10116,1239,1243
100013,Disease,D006963,1273,1284
100013,Disease,D006946,1286,1302
100013,Disease,D009765,1308,1315
100013,Species,10116,1332,1336
100013,Disease,D007027,151,190
100013,Disease,D009765,1510,1530
100013,Species,10116,239,243
100013,Disease,D003920,254,262
100013,Chemical,D013311,276,290
100013,Species,10116,452,456
100013,Disease,D003920,463,471
100013,Species,10116,586,590
100013,Disease,D009765,65,85
100013,Species,10116,735,739
100013,Species,10116,782,786
100013,Species,10116,89,93
100013,Species,10116,895,899
100013,Species,10116,957,961
100013,Disease,D006984,980,991
100014,Chemical,D009638,1173,1187
100014,Species,10116,49,53
100014,Chemical,D009638,836,850
100015,Species,9521,289,305
100015,Chemical,D011188,390,399
100018,Chemical,D013752,0,12
100018,Chemical,Unknown,1111,1114
100018,Chemical,D003707,114,139
100018,Chemical,C004944,141,144
100018,Chemical,D008911,147,158
100018,Chemical,Unknown,160,163
100018,Chemical,D010118,170,185
100018,Chemical,Unknown,187,190
100018,Chemical,Unknown,196,199
100018,Chemical,Unknown,35,37
100018,Chemical,Unknown,35,38
100018,Chemical,C004944,361,364
100018,Chemical,Unknown,374,377
100018,Chemical,Unknown,381,384
100018,Chemical,Unknown,402,404
100018,Chemical,Unknown,402,405
100018,Chemical,Unknown,425,428
100018,Chemical,C004944,438,441
100018,Chemical,Unknown,445,448
100018,Chemical,Unknown,475,478
100018,Chemical,Unknown,490,493
100018,Chemical,D000242,509,519
100018,Chemical,Unknown,531,534
100018,Chemical,Unknown,611,614
100018,Chemical,C004944,630,633
100018,Chemical,Unknown,662,665
100018,Chemical,Unknown,662,664
100018,Chemical,Unknown,684,687
100018,Chemical,Unknown,725,728
100018,Chemical,Unknown,860,863
100018,Chemical,Unknown,880,883
100018,Chemical,Unknown,908,911
100018,Chemical,D013754,984,997
100018,Chemical,D013754,99,112
