entrez_gene_id	gene_symbol	gene_name	positive	sources	testing
1	A1BG	alpha-1-B glycoprotein	0		0
2	A2M	alpha-2-macroglobulin	0		1
9	NAT1	N-acetyltransferase 1 (arylamine N-acetyltransferase)	0		0
10	NAT2	N-acetyltransferase 2 (arylamine N-acetyltransferase)	0		0
12	SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	0		0
13	AADAC	arylacetamide deacetylase	0		0
14	AAMP	angio-associated, migratory cell protein	0		0
15	AANAT	aralkylamine N-acetyltransferase	0		0
16	AARS	alanyl-tRNA synthetase	0		0
18	ABAT	4-aminobutyrate aminotransferase	1	DisGeNET	0
19	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	0		0
20	ABCA2	ATP-binding cassette, sub-family A (ABC1), member 2	0		1
21	ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3	0		1
22	ABCB7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	0		0
23	ABCF1	ATP-binding cassette, sub-family F (GCN20), member 1	0		1
24	ABCA4	ATP-binding cassette, sub-family A (ABC1), member 4	0		0
25	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	0		0
26	AOC1	amine oxidase, copper containing 1	0		0
27	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	0		1
28	ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	0		0
29	ABR	active BCR-related	0		1
30	ACAA1	acetyl-CoA acyltransferase 1	0		0
31	ACACA	acetyl-CoA carboxylase alpha	0		0
32	ACACB	acetyl-CoA carboxylase beta	0		0
33	ACADL	acyl-CoA dehydrogenase, long chain	0		0
34	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	0		1
35	ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain	0		0
36	ACADSB	acyl-CoA dehydrogenase, short/branched chain	0		1
37	ACADVL	acyl-CoA dehydrogenase, very long chain	0		0
38	ACAT1	acetyl-CoA acetyltransferase 1	0		1
39	ACAT2	acetyl-CoA acetyltransferase 2	0		0
40	ASIC2	acid sensing (proton gated) ion channel 2	0		1
41	ASIC1	acid sensing (proton gated) ion channel 1	0		0
43	ACHE	acetylcholinesterase (Yt blood group)	0		0
47	ACLY	ATP citrate lyase	0		0
48	ACO1	aconitase 1, soluble	0		1
49	ACR	acrosin	0		0
50	ACO2	aconitase 2, mitochondrial	0		0
51	ACOX1	acyl-CoA oxidase 1, palmitoyl	0		0
52	ACP1	acid phosphatase 1, soluble	0		0
53	ACP2	acid phosphatase 2, lysosomal	0		0
54	ACP5	acid phosphatase 5, tartrate resistant	0		1
55	ACPP	acid phosphatase, prostate	0		1
56	ACRV1	acrosomal vesicle protein 1	0		0
58	ACTA1	actin, alpha 1, skeletal muscle	0		1
59	ACTA2	actin, alpha 2, smooth muscle, aorta	0		0
60	ACTB	actin, beta	1	DisGeNET	0
70	ACTC1	actin, alpha, cardiac muscle 1	0		0
71	ACTG1	actin gamma 1	0		0
72	ACTG2	actin, gamma 2, smooth muscle, enteric	0		0
81	ACTN4	actinin, alpha 4	0		0
86	ACTL6A	actin-like 6A	0		0
87	ACTN1	actinin, alpha 1	0		0
88	ACTN2	actinin, alpha 2	0		0
89	ACTN3	actinin, alpha 3 (gene/pseudogene)	0		1
90	ACVR1	activin A receptor, type I	0		1
91	ACVR1B	activin A receptor, type IB	0		0
92	ACVR2A	activin A receptor, type IIA	0		1
93	ACVR2B	activin A receptor, type IIB	0		0
94	ACVRL1	activin A receptor type II-like 1	0		0
95	ACY1	aminoacylase 1	0		0
97	ACYP1	acylphosphatase 1, erythrocyte (common) type	0		1
98	ACYP2	acylphosphatase 2, muscle type	0		0
100	ADA	adenosine deaminase	0		0
101	ADAM8	ADAM metallopeptidase domain 8	0		1
102	ADAM10	ADAM metallopeptidase domain 10	1	DisGeNET	0
103	ADAR	adenosine deaminase, RNA-specific	0		1
104	ADARB1	adenosine deaminase, RNA-specific, B1	0		0
105	ADARB2	adenosine deaminase, RNA-specific, B2 (non-functional)	0		0
107	ADCY1	adenylate cyclase 1 (brain)	0		0
108	ADCY2	adenylate cyclase 2 (brain)	0		0
109	ADCY3	adenylate cyclase 3	0		1
111	ADCY5	adenylate cyclase 5	0		0
112	ADCY6	adenylate cyclase 6	0		0
113	ADCY7	adenylate cyclase 7	0		0
114	ADCY8	adenylate cyclase 8 (brain)	0		0
115	ADCY9	adenylate cyclase 9	0		1
116	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)	0		0
117	ADCYAP1R1	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I	0		1
118	ADD1	adducin 1 (alpha)	1	DisGeNET	0
119	ADD2	adducin 2 (beta)	0		0
120	ADD3	adducin 3 (gamma)	0		1
123	PLIN2	perilipin 2	0		1
124	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	0		1
125	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	0		1
126	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	0		1
127	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	0		1
128	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	0		0
130	ADH6	alcohol dehydrogenase 6 (class V)	0		0
131	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	0		0
132	ADK	adenosine kinase	1	DISEASES, DisGeNET	1
133	ADM	adrenomedullin	0		0
134	ADORA1	adenosine A1 receptor	0		0
135	ADORA2A	adenosine A2a receptor	0		0
136	ADORA2B	adenosine A2b receptor	0		0
140	ADORA3	adenosine A3 receptor	0		0
141	ADPRH	ADP-ribosylarginine hydrolase	0		1
142	PARP1	poly (ADP-ribose) polymerase 1	0		0
143	PARP4	poly (ADP-ribose) polymerase family, member 4	0		1
146	ADRA1D	adrenoceptor alpha 1D	0		0
147	ADRA1B	adrenoceptor alpha 1B	0		1
148	ADRA1A	adrenoceptor alpha 1A	0		0
150	ADRA2A	adrenoceptor alpha 2A	1	DisGeNET	0
151	ADRA2B	adrenoceptor alpha 2B	0		1
152	ADRA2C	adrenoceptor alpha 2C	0		0
153	ADRB1	adrenoceptor beta 1	0		1
154	ADRB2	adrenoceptor beta 2, surface	0		1
155	ADRB3	adrenoceptor beta 3	0		1
156	ADRBK1	adrenergic, beta, receptor kinase 1	0		1
157	ADRBK2	adrenergic, beta, receptor kinase 2	0		0
158	ADSL	adenylosuccinate lyase	1	DISEASES	0
159	ADSS	adenylosuccinate synthase	0		1
160	AP2A1	adaptor-related protein complex 2, alpha 1 subunit	0		1
161	AP2A2	adaptor-related protein complex 2, alpha 2 subunit	0		1
162	AP1B1	adaptor-related protein complex 1, beta 1 subunit	0		1
163	AP2B1	adaptor-related protein complex 2, beta 1 subunit	0		1
164	AP1G1	adaptor-related protein complex 1, gamma 1 subunit	0		0
165	AEBP1	AE binding protein 1	0		1
166	AES	amino-terminal enhancer of split	0		1
167	CRISP1	cysteine-rich secretory protein 1	0		0
173	AFM	afamin	0		1
174	AFP	alpha-fetoprotein	0		1
